Food,Calories,Protein(g),Carbs(g),Fat(g),Cost(₹)
Oats (40g),150,5,27,3,15
Milk (200ml),120,6,10,4,20
Banana (1 medium),105,1,27,0,10
Rice (100g cooked),130,2,28,0,12
Dal (100g cooked),120,9,20,1,15
Chicken Breast (100g),165,31,0,3,60
Paneer (100g),265,18,6,20,40
Chapati (1 medium),80,3,15,1,8
Sabzi (100g mixed veg),100,3,12,4,15
Apple (1 medium),95,0,25,0,20
Almonds (10 pcs),70,3,2,6,25
Egg White (1),17,4,0,0,5
Egg (1 whole),70,6,1,5,7
Fish (100g),200,22,0,12,70
Sweet Potato (100g),90,2,21,0,20
Curd (100g),60,3,4,3,12
